orbital_period_days,transit_duration_hours,transit_depth_ppm,planetary_radius_earth_radii,insolation_flux_earth_flux,equilibrium_temperature_k,stellar_effective_temperature_k,stellar_surface_gravity_log10_cm_s2,stellar_radius_solar_radii,right_ascension_decimal_degrees,declination_decimal_degrees
6.76652928,2.9004,451.0,1.97,120.48,845.0,5149.0,4.447,0.93,289.26874,42.604172
4.347288783,2.1024,452.0,2.36,449.79,1174.0,5754.0,4.345,1.122,291.96417,42.69614
4.601811819,2.2607,756.0,2.35,152.91,896.0,4986.0,4.496,0.833,296.48343,42.663429
11.18719905,3.252,354.0,1.55,46.65,667.0,4986.0,4.496,0.833,296.48343,42.663429
4.220965778,3.0854,2260.0,2.62,29.68,595.0,3837.0,4.747,0.517,296.69394,42.62611
6.998099523,2.0488,20300.0,588.66,125.22,853.0,5612.0,4.566,0.829,287.88412,42.832439
5.95489993,2.3892,1410.0,2.33,38.52,635.0,4261.0,4.641,0.633,293.63696,42.82497
12.03987488,2.7363,1250.0,2.18,15.06,502.0,4261.0,4.641,0.633,293.63696,42.82497
20.83762895,2.3734,439.0,1.42,7.24,418.0,4261.0,4.641,0.633,293.63696,42.82497
8.8111022,5.0683,401.0,63.66,904.92,1399.0,6200.0,3.8,2.404,294.46088,38.383461
23.58917143,5.073,1200.0,3.16,13.34,487.0,4919.0,4.566,0.721,297.46002,42.83992
6.481633073,3.784,299.0,2.54,406.25,1145.0,5945.0,4.213,1.302,290.39273,40.28487
10.37168928,3.035,1250.0,3.2,63.68,720.0,5121.0,4.457,0.888,290.39322,43.363899
3.96996298,1.1757,299.0,1.78,229.37,992.0,5121.0,4.457,0.888,290.39322,43.363899
4.40841331,5.012,549.0,2.66,398.0,1139.0,6007.0,4.457,0.961,292.96555,43.34639
7.9426176,6.703,1590.0,4.68,140.57,878.0,5811.0,4.521,0.926,299.00143,43.399632
226.8904775,7.558,3140.0,4.53,0.73,236.0,5067.0,4.585,0.75,294.90973,42.935261
1.956811408,2.1958,24900.0,21.58,357.16,1109.0,5209.0,4.657,0.603,295.83536,42.943062
2.688899233,2.11275,37500.0,12.04,175.76,929.0,4820.0,4.667,0.639,296.68307,42.967869
9.439459486,2.8979,3040.0,4.16,52.32,686.0,5097.0,4.597,0.779,288.64252,43.039291
11.52306746,3.8757,507.0,3.13,174.81,927.0,5644.0,4.162,1.411,284.48245,44.398041
20.47748843,2.8364,1380.0,2.92,18.65,530.0,5097.0,4.597,0.779,288.64252,43.039291
3.336123113,1.9616,516.0,1.74,209.79,970.0,5097.0,4.597,0.779,288.64252,43.039291
8.01078456,2.312,1330.0,1.72,9.9,453.0,3713.0,4.779,0.47,294.77393,43.056301
12.07134205,4.3224,759.0,1.29,5.74,395.0,3713.0,4.779,0.47,294.77393,43.056301
20.99587872,2.6333,767.0,1.3,2.74,328.0,3713.0,4.779,0.47,294.77393,43.056301
7.41113177,2.5242,621.0,2.45,158.11,905.0,5849.0,4.517,0.919,295.65149,43.029831
1.000747038,0.9967,1820.0,4.14,1635.2,1620.0,5472.0,4.499,0.79,297.97513,43.164909
8.884922995,2.07004,16100.0,10.51,83.21,770.0,5332.0,4.5,0.843,291.1376,36.577381
8.09888906,4.20241,6910.0,8.95,223.19,986.0,6214.0,4.442,1.076,282.69952,43.272739
10.00653012,5.344,936.0,3.52,139.21,876.0,6063.0,4.47,1.001,283.63077,43.379398
17.85522168,7.41287,9070.0,13.16,163.04,911.0,6823.0,4.308,1.367,297.45374,41.01099
12.73262407,2.2083,6470.0,4.87,8.22,432.0,3950.0,4.721,0.541,285.16748,43.876339
83.92494032,6.7904,7960.0,4.78,0.62,226.0,3960.0,4.746,0.509,287.85239,43.897991
5.007316661,4.2362,6930.0,6.96,234.28,998.0,5865.0,4.563,0.827,295.53613,43.884449
2.211116989,1.6485,724.0,1.85,177.19,931.0,4500.0,4.656,0.646,285.16833,44.026459
27.9541337,3.95,943.0,1.9,6.04,400.0,4500.0,4.656,0.646,285.16833,44.026459
12.69104387,3.7727,252.0,2.57,244.3,1008.0,5869.0,4.024,1.626,292.92914,48.60281
4.409409243,3.8636,12900.0,10.95,347.06,1101.0,5600.0,4.368,0.975,296.41019,43.455391
16.23947096,4.0374,2590.0,4.14,30.14,598.0,5191.0,4.564,0.837,293.0614,43.58136
6.308201629,2.9785,1330.0,2.96,106.44,819.0,5191.0,4.564,0.837,293.0614,43.58136
2.052349884,2.0778,14300.0,13.12,1183.18,1497.0,5855.0,4.393,1.08,299.56189,43.503559
9.7704486,2.4517,1900.0,2.23,10.59,460.0,3906.0,4.73,0.509,282.23251,43.66563
5.169804269,2.153,1040.0,1.66,24.75,569.0,3906.0,4.73,0.509,282.23251,43.66563
21.22261195,6.5093,366.0,2.48,83.56,771.0,5945.0,4.213,1.302,290.39273,40.28487
20.09017037,4.154,1430.0,2.25,4.05,362.0,3906.0,4.73,0.509,282.23251,43.66563
7.11373257,2.1764,808.0,1.16,8.01,429.0,3561.0,4.855,0.411,296.98505,43.65852
3.306551643,1.8177,509.0,0.91,22.19,554.0,3561.0,4.855,0.411,296.98505,43.65852
15.36845737,2.4714,756.0,1.11,2.86,332.0,3561.0,4.855,0.411,296.98505,43.65852
13.81020318,3.048,1310.0,4.56,113.75,833.0,5942.0,4.327,1.142,281.96063,43.70311
4.093578461,2.5833,539.0,2.85,461.07,1182.0,6077.0,4.471,0.999,290.26328,44.55645
105.145959,8.593,685.0,3.43,6.09,401.0,6077.0,4.471,0.999,290.26328,44.55645
10.8484518,2.9993,1680.0,2.34,14.66,499.0,4201.0,4.682,0.591,295.57935,44.545959
6.66833241,1.915,362.0,1.18,28.06,587.0,4201.0,4.682,0.591,295.57935,44.545959
4.082274889,3.23015,17900.0,10.55,251.48,1016.0,5655.0,4.581,0.794,284.83047,44.658138
3.886655224,3.1646,582.0,1.87,246.29,1010.0,5662.0,4.61,0.738,288.72665,44.60751
42.1406089,5.083,896.0,1.85,3.49,349.0,4500.0,4.656,0.646,285.16833,44.026459
4.617490562,2.2618,576.0,1.62,66.47,728.0,4500.0,4.656,0.646,285.16833,44.026459
10.19849255,2.4283,634.0,1.75,23.11,559.0,4500.0,4.656,0.646,285.16833,44.026459
5.795063956,3.2496,1690.0,4.33,192.74,950.0,5865.0,4.563,0.827,296.50754,44.036072
7.15681552,2.5882,867.0,2.47,88.23,782.0,5029.0,4.494,0.838,289.59476,44.141949
17.64830851,2.0873,763.0,2.43,26.49,579.0,5029.0,4.494,0.838,289.59476,44.141949
4.14810719,2.535,175.0,1.08,182.76,938.0,5029.0,4.494,0.838,289.59476,44.141949
16.51410989,4.1575,974.0,2.72,43.57,655.0,5527.0,4.488,0.866,296.56622,44.105862
30.1329298,5.172,1020.0,3.14,19.55,536.0,5527.0,4.488,0.866,296.56622,44.105862
4.79090809,2.603,251.0,1.36,227.24,990.0,5527.0,4.488,0.866,296.56622,44.105862
31.71981013,4.819,363.0,3.09,71.97,743.0,5869.0,4.024,1.626,292.92914,48.60281
99.6415962,4.448,953.0,2.64,3.97,360.0,5527.0,4.488,0.866,296.56622,44.105862
4.708326451,3.16114,7910.0,10.6,431.02,1162.0,5560.0,4.246,1.21,298.63565,44.17094
16.37198661,3.8449,4150.0,540.37,8.71,438.0,4187.0,4.656,0.592,298.67862,44.175499
